date,year,time,prelim_data,site,block,treatment,site_type,wetland_id,pair_id,temp,water,wind,species,method,in_wetland,25m,50m,total
05/15/2024,2024,6:15,1,HH02,4,cut-remove,wetland,HH02,UP02,,no,,BGGN,a,1,2,,2
05/15/2024,2024,6:15,1,HH02,4,cut-remove,wetland,HH02,UP02,,no,,NOCA,a,1,1,,1
05/15/2024,2024,6:15,1,HH02,4,cut-remove,wetland,HH02,UP02,,no,,COYE,a,0,,1,1
05/15/2024,2024,6:15,1,HH02,4,cut-remove,wetland,HH02,UP02,,no,,PIWA,a,0,,1,1
05/15/2024,2024,6:15,1,HH02,4,cut-remove,wetland,HH02,UP02,,no,,SUTA,a,0,,1,1
05/15/2024,2024,6:15,1,HH02,4,cut-remove,wetland,HH02,UP02,,no,,RHWO,v,1,,1,1
05/15/2024,2024,6:45,1,HH04,4,hack-squirt,wetland,HH04,UP04,,yes,,EATO,a,1,2,,2
05/15/2024,2024,6:45,1,HH04,4,hack-squirt,wetland,HH04,UP04,,yes,,NOCA,a,0,,1,1
05/15/2024,2024,6:45,1,HH04,4,hack-squirt,wetland,HH04,UP04,,yes,,COYE,a,1,,1,1
05/15/2024,2024,6:45,1,HH04,4,hack-squirt,wetland,HH04,UP04,,yes,,BGGN,a,0,,1,1
05/15/2024,2024,6:45,1,HH04,4,hack-squirt,wetland,HH04,UP04,,yes,,CARW,a,0,,1,1
05/15/2024,2024,7:25,1,HH07,4,cut-leave,wetland,HH07,UP07,,yes,,EAWP,a,0,,1,1
05/15/2024,2024,7:25,1,HH07,4,cut-leave,wetland,HH07,UP07,,yes,,PIWA,a,0,,1,1
05/15/2024,2024,7:25,1,HH07,4,cut-leave,wetland,HH07,UP07,,yes,,BGGN,a,0,1,,1
05/15/2024,2024,7:25,1,HH07,4,cut-leave,wetland,HH07,UP07,,yes,,CARW,a,0,,1,1
05/15/2024,2024,7:25,1,HH07,4,cut-leave,wetland,HH07,UP07,,yes,,COYE,a,0,,1,1
05/15/2024,2024,7:25,1,HH07,4,cut-leave,wetland,HH07,UP07,,yes,,NOCA,a,0,,1,1
05/15/2024,2024,7:25,1,HH07,4,cut-leave,wetland,HH07,UP07,,yes,,WBNU,a,1,1,,1
05/15/2024,2024,7:55,1,HH15,2,cut-remove,wetland,HH15,UP14,,yes,,NOCA,a,0,,1,1
05/15/2024,2024,7:55,1,HH15,2,cut-remove,wetland,HH15,UP14,,yes,,TUTI,a,1,1,,1
05/15/2024,2024,7:55,1,HH15,2,cut-remove,wetland,HH15,UP14,,yes,,EATO,a,0,,1,1
05/15/2024,2024,7:55,1,HH15,2,cut-remove,wetland,HH15,UP14,,yes,,CARW,a,0,,1,1
05/15/2024,2024,7:55,1,HH15,2,cut-remove,wetland,HH15,UP14,,yes,,OROR,a,0,1,,1
05/15/2024,2024,7:55,1,HH15,2,cut-remove,wetland,HH15,UP14,,yes,,BGGN,a,1,1,,1
05/15/2024,2024,7:55,1,HH15,2,cut-remove,wetland,HH15,UP14,,yes,,WBNU,a,0,,1,1
05/15/2024,2024,8:20,1,HH13,1,cut-leave,wetland,HH13,UP13,,no,,PIWA,a,0,,1,1
05/15/2024,2024,8:20,1,HH13,1,cut-leave,wetland,HH13,UP13,,no,,WBNU,a,0,,2,2
05/15/2024,2024,8:20,1,HH13,1,cut-leave,wetland,HH13,UP13,,no,,COYE,a,0,,1,1
05/15/2024,2024,8:20,1,HH13,1,cut-leave,wetland,HH13,UP13,,no,,CHSP,a,1,1,,1
