"","AMRO","BACS","BGGN","BHCO","BHNU","BLGR","BLJA","BRTH","CACH","CARW","CHSP","COGR","COYE","DOWO","EABL","EAKI","EAPH","EATO","EAWP","GCFL","HOFI","INBU","KILL","MAWR","MODO","NOCA","NOFL","NOMO","NOPA","OROR","PABU","PIWA","PIWO","PRAW","PUMA","RBWO","RCWO","REVI","RHWO","RTHU","RWBL","SUTA","TUTI","WBNU","WEVI","WOTH","YBCH","YBCU","YTVI","YTWA"
"HH-02-U",0,1,4,1,3,0,0,0,0,0,0,0,5,0,2,2,0,1,0,1,0,5,0,0,0,2,0,1,0,1,0,7,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
"HH-02-W",0,0,9,1,0,0,0,0,1,2,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,12,0,0,1,1,0,2,0,0,0,2,0,0,0,0,0,1,7,0,1,0,0,3,0,0
"HH-04-U",0,1,2,0,3,2,0,0,0,1,0,0,8,0,3,5,0,2,0,1,0,4,0,0,2,1,0,3,0,4,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0
"HH-04-W",0,1,12,2,0,0,0,0,2,2,0,0,3,1,0,0,0,6,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,2,8,3,0,0,0,0,0,0
"HH-07-U",0,0,9,1,1,0,0,0,0,1,0,0,3,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"HH-07-W",0,0,5,2,2,0,0,1,0,6,0,0,2,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,2,2,0,0,0,1,0,0,3
"HH-13-U",0,0,4,0,0,1,0,0,0,2,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0
"HH-13-W",0,1,13,0,2,1,0,0,5,6,0,0,10,1,0,0,0,4,0,2,0,0,0,0,1,6,0,2,0,0,0,2,3,0,0,2,0,0,0,0,0,7,3,0,0,0,1,0,0,0
"HH-14-U",0,1,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HH-14-W",0,1,8,0,3,0,0,1,0,2,0,0,3,2,0,3,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,2,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"HH-15-U",0,1,4,0,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HH-15-W",0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"HH-17-U",0,1,0,0,5,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"HH-17-W",0,0,10,1,12,1,0,0,0,0,0,0,4,1,3,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"HH-22-U",0,1,2,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"HH-22-W",0,0,14,0,3,0,0,0,0,1,0,0,5,1,0,0,0,5,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"HH-32-U",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"HH-32-W",0,1,7,0,2,0,0,0,1,0,0,0,5,1,2,0,0,0,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0
"HH-33-U",0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"HH-33-W",1,2,13,0,1,0,0,0,0,5,0,0,4,2,0,0,0,3,2,0,0,0,0,0,0,7,0,2,0,0,0,1,0,0,0,4,0,0,0,0,0,0,2,0,0,0,3,0,0,0
