"","AMRO","BACS","BGGN","BHCO","BHNU","BLGR","BLJA","BRTH","CACH","CARW","CHSP","COGR","COYE","DOWO","EABL","EAKI","EAPH","EATO","EAWP","GCFL","HOFI","INBU","KILL","MAWR","MODO","NOCA","NOFL","NOMO","NOPA","OROR","PABU","PIWA","PIWO","PRAW","PUMA","RBWO","RCWO","REVI","RHWO","RTHU","RWBL","SUTA","TUTI","WBNU","WEVI","WOTH","YBCH","YBCU","YTVI","YTWA"
"HH02",1,0,10,1,0,0,1,0,2,8,1,0,6,3,0,0,0,6,0,3,0,2,0,0,1,15,0,2,1,1,0,4,0,0,0,3,0,1,0,0,0,2,11,0,1,1,1,3,2,0
"HH04",0,2,16,2,0,2,0,0,2,4,1,0,17,1,0,0,0,9,1,2,0,1,0,0,1,3,0,3,0,1,0,1,0,0,1,0,1,0,0,0,0,2,8,3,0,0,0,0,0,0
"HH07",1,0,6,3,3,0,0,1,2,10,0,0,16,1,1,0,0,7,4,8,0,1,0,0,0,4,0,0,0,0,0,8,0,0,0,4,0,1,1,0,0,2,7,1,2,0,1,0,0,3
"HH13",0,1,13,0,3,2,1,0,5,8,0,0,15,1,0,0,0,11,1,3,0,1,0,0,1,9,0,2,0,0,0,3,3,0,0,7,0,0,0,0,0,8,7,0,0,0,2,0,0,0
"HH14",0,4,10,2,5,1,1,1,1,3,2,5,8,3,0,3,0,3,1,3,0,0,0,0,3,3,0,8,0,1,0,7,0,1,0,2,0,1,1,0,1,0,4,1,0,1,0,0,0,0
"HH15",0,2,3,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0
"HH17",2,1,10,2,20,1,0,0,0,0,2,1,10,2,7,1,0,2,4,2,0,2,0,0,0,4,0,2,0,0,1,5,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"HH22",0,2,14,1,5,1,0,0,4,6,1,0,13,1,1,0,0,14,2,2,0,1,0,0,0,3,0,0,0,1,0,10,0,0,0,5,0,1,0,0,0,3,1,2,0,0,0,0,0,0
"HH32",0,1,7,0,3,0,1,0,1,2,0,0,8,1,2,0,0,1,2,3,0,1,0,0,1,4,0,2,0,2,0,3,0,0,0,1,0,0,6,0,1,0,4,0,0,0,1,0,0,0
"HH33",1,4,15,0,2,1,0,0,0,8,2,0,11,2,1,0,0,7,6,1,0,1,0,0,1,10,0,4,0,0,0,4,0,0,0,7,0,0,1,0,0,0,3,0,1,0,3,0,0,0
"HH34",0,4,18,1,0,2,1,0,3,3,2,0,15,3,5,3,0,2,2,5,0,2,0,0,4,5,0,5,0,1,0,6,0,0,0,6,0,1,4,0,0,0,7,2,0,0,2,0,0,0
"HH45",0,1,10,3,0,4,0,0,1,1,0,0,14,0,2,1,0,5,1,0,0,0,0,0,0,2,0,8,0,1,0,0,0,0,0,0,1,1,2,0,0,0,3,0,0,0,4,0,0,0
"HH46",0,1,8,3,0,0,0,0,2,3,0,0,18,0,2,0,0,6,0,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,8,0,1,1,1,0,3,1,0,0,0,5,0,0,0
"HH48",0,0,7,0,2,2,0,1,3,3,2,0,17,2,0,0,1,0,5,3,0,1,0,0,1,12,1,0,0,0,0,19,0,0,0,5,0,0,1,0,0,1,2,0,0,0,0,0,1,0
"HH49",0,3,10,1,1,0,3,0,9,2,3,0,8,2,0,1,0,3,6,10,0,3,0,0,0,10,0,1,0,1,0,8,2,0,0,8,0,1,14,0,0,0,4,0,0,0,0,0,0,1
"HH50",0,3,9,0,6,2,0,0,5,5,2,0,0,4,1,0,0,2,1,2,0,1,1,0,0,12,0,2,0,0,0,11,1,0,0,4,0,0,0,0,0,3,5,2,1,0,0,0,0,12
"HH60",0,1,6,0,0,2,1,1,0,5,0,0,16,0,0,0,0,3,2,4,0,2,0,0,0,6,0,5,0,3,0,3,0,0,0,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0
