"site_old","site","pre_post","treatment","utm_easting","utm_northing","densiometer_avg","dist_avg","dbh_avg","disked"
"HH02","HH-02-W","post","cut-remove",607877.89,3659680.84,55.28,4.25,8.925,0
"HH04","HH-04-W","post","hack-squirt",608471.13,3659729.52,100,4.2,9.05,0
"HH05","HH-05-W","post","control-disturbed",609133.89,3659495.04,39.68,7.275,9.225,0
"HH07","HH-07-W","post","cut-leave",609592.11,3659169.83,5.36,6.95,19.325,0
"HH13","HH-13-W","post","cut-leave",609560.69,3657970.81,9.52,9.75,11.675,1
"HH14","HH-14-W","post","cut-remove",609835.04,3658404.12,6.39999999999999,12.25,15.675,1
"HH15","HH-15-W","post","control-closed",610054.4,3658649,83.36,4.15,14.15,1
"HH17","HH-17-W","post","cut-leave",610154.72,3658456.49,0.159999999999997,11.45,16.8,1
"HH22","HH-22-W","post","hack-squirt",610406.39,3658329.59,95.84,1.9125,2,1
"HH32","HH-32-W","post","control-closed",610015.3,3657509,91.68,2.675,7.425,1
"HH33","HH-33-W","post","hack-squirt",609759.47,3657648.15,93.76,2.35,16.975,1
"HH34r","HH-34-W","post","control-open",609561.09,3657847.31,11.6,7.025,10.475,1
"HH45","HH-45-W","post","control-open",609629.64,3656998.69,8.47999999999999,7.05,11.625,0
"HH46","HH-46-W","post","control-open",609537.88,3656869.59,4.31999999999999,3.575,13,0
"HH48","HH-48-W","post","control-open",609012.22,3656910.19,5.36,7.06666666666667,12.7,0
"HH49","HH-49-W","post","hack-squirt",608983.27,3656994.14,95.84,1.8,12.675,0
"HH50","HH-50-W","post","cut-remove",609042.44,3657299.73,23.04,11.475,14.25,0
"HH34","HH-60-W","post","control-closed",609706.05,3657831.62,94.8,2.375,18.4,1
"UP02A","HH-02-U","post","upland",608047.4,3659550,10.56,4.55,9.8,0
"UP04","HH-04-U","post","upland",608591.6,3659587,15.76,4.05,5.85,0
"UP05A","HH-05-U","post","upland",609293.7,3659410,31.36,3.55,7.375,0
"UP07A","HH-07-U","post","upland",609424.8,3659288,87.52,2.125,3.775,0
"UP13A","HH-13-U","post","upland",609671.9,3658059,16.8,8.525,12.625,1
"UP02A","HH-14-U","post","upland",609978.7,3658463,18.88,9.475,12.275,1
"UP15","HH-15-U","post","upland",622632.6,3658767,22,10.675,13.1,1
"UP17A","HH-17-U","post","upland",610110.7,3658249,16.8,8.475,16.5,1
"UP22A","HH-22-U","post","upland",610552.7,3658161,8.47999999999999,14.9,15.175,1
"UP32","HH-32-U","post","upland",609964.2,3657446,4.31999999999999,13.4,12.05,1
"UP33","HH-33-U","post","upland",609782.2,3657475,6.39999999999999,13.275,14.25,1
"UP34rA","HH-34-U","post","upland",609546.7,3657657,15.76,10.075,7.975,1
"UP45A","HH-45-U","post","upland",609891.5,3656984,0.159999999999997,3.225,2.075,0
"UP46A","HH-46-U","post","upland",609451.9,3656855,1.2,2.7125,1.775,0
"UP48A","HH-48-U","post","upland",608960.8,3656696,6.39999999999999,15.6,15.6,1
"UP03","HH-49-U","post","upland",609057.1,3657375,32.4,7.2,17.875,0
"UP50A","HH-50-U","post","upland",609054.4,3657621,100,NA,NA,0
"UP01","HH-60-U","post","upland",609675.4,3657751,15.76,13.075,18.225,0
