"site","date","year","pre_post","site_old","treatment","utm_easting","utm_northing","densiometer_avg","dist_avg","dbh_avg","disked","canopy_cover"
"HH-02-U",2021-05-14,"2021","pre","UP02A","upland",608047.4,3659550,NA,8.125,42,0,NA
"HH-02-U",2021-05-17,"2021","pre","UP02A","upland",608047.4,3659550,NA,8.125,42,0,NA
"HH-02-U",2021-05-24,"2021","pre","UP02A","upland",608047.4,3659550,NA,8.125,42,0,NA
"HH-02-U",2022-05-18,"2022","pre","UP02A","upland",608047.4,3659550,NA,8.125,42,0,NA
"HH-02-U",2022-05-30,"2022","pre","UP02A","upland",608047.4,3659550,NA,8.125,42,0,NA
"HH-02-U",2022-06-14,"2022","pre","UP02A","upland",608047.4,3659550,NA,8.125,42,0,NA
"HH-02-U",2023-05-16,"2023","pre","UP02A","upland",608047.4,3659550,NA,8.125,42,0,NA
"HH-02-U",2023-05-20,"2023","pre","UP02A","upland",608047.4,3659550,NA,8.125,42,0,NA
"HH-02-U",2023-05-24,"2023","pre","UP02A","upland",608047.4,3659550,NA,8.125,42,0,NA
"HH-02-U",2023-06-01,"2023","pre","UP02A","upland",608047.4,3659550,NA,8.125,42,0,NA
"HH-02-U",2023-06-06,"2023","pre","UP02A","upland",608047.4,3659550,NA,8.125,42,0,NA
"HH-02-U",2023-06-09,"2023","pre","UP02A","upland",608047.4,3659550,NA,8.125,42,0,NA
"HH-02-U",2024-05-23,"2024","post","UP02A","upland",608047.4,3659550,10.56,4.55,9.8,0,10.56
"HH-02-U",2024-06-03,"2024","post","UP02A","upland",608047.4,3659550,10.56,4.55,9.8,0,10.56
"HH-02-U",2024-06-13,"2024","post","UP02A","upland",608047.4,3659550,10.56,4.55,9.8,0,10.56
"HH-02-W",2021-05-14,"2021","pre","HH02","cut-remove",607877.89,3659680.84,NA,2.3125,28.375,0,76.7782160580227
"HH-02-W",2021-05-17,"2021","pre","HH02","cut-remove",607877.89,3659680.84,NA,2.3125,28.375,0,76.7782160580227
"HH-02-W",2021-05-24,"2021","pre","HH02","cut-remove",607877.89,3659680.84,NA,2.3125,28.375,0,76.7782160580227
"HH-02-W",2022-05-17,"2022","pre","HH02","cut-remove",607877.89,3659680.84,NA,2.3125,28.375,0,76.7782160580227
"HH-02-W",2022-06-07,"2022","pre","HH02","cut-remove",607877.89,3659680.84,NA,2.3125,28.375,0,76.7782160580227
"HH-02-W",2022-06-14,"2022","pre","HH02","cut-remove",607877.89,3659680.84,NA,2.3125,28.375,0,76.7782160580227
"HH-02-W",2023-05-16,"2023","pre","HH02","cut-remove",607877.89,3659680.84,NA,2.3125,28.375,0,76.7782160580227
"HH-02-W",2023-05-25,"2023","pre","HH02","cut-remove",607877.89,3659680.84,NA,2.3125,28.375,0,76.7782160580227
"HH-02-W",2023-06-09,"2023","pre","HH02","cut-remove",607877.89,3659680.84,NA,2.3125,28.375,0,76.7782160580227
"HH-02-W",2024-05-22,"2024","post","HH02","cut-remove",607877.89,3659680.84,55.28,4.25,8.925,0,55.28
"HH-02-W",2024-05-29,"2024","post","HH02","cut-remove",607877.89,3659680.84,55.28,4.25,8.925,0,55.28
"HH-02-W",2024-06-11,"2024","post","HH02","cut-remove",607877.89,3659680.84,55.28,4.25,8.925,0,55.28
"HH-04-U",2021-05-14,"2021","pre","UP04","upland",608591.6,3659587,NA,6.6375,11.825,0,5.09582364019054
"HH-04-U",2021-05-17,"2021","pre","UP04","upland",608591.6,3659587,NA,6.6375,11.825,0,5.09582364019054
"HH-04-U",2021-05-24,"2021","pre","UP04","upland",608591.6,3659587,NA,6.6375,11.825,0,5.09582364019054
"HH-04-U",2022-05-17,"2022","pre","UP04","upland",608591.6,3659587,NA,6.6375,11.825,0,5.09582364019054
"HH-04-U",2022-05-26,"2022","pre","UP04","upland",608591.6,3659587,NA,6.6375,11.825,0,5.09582364019054
"HH-04-U",2022-06-14,"2022","pre","UP04","upland",608591.6,3659587,NA,6.6375,11.825,0,5.09582364019054
"HH-04-U",2023-05-16,"2023","pre","UP04","upland",608591.6,3659587,NA,6.6375,11.825,0,5.09582364019054
"HH-04-U",2023-05-25,"2023","pre","UP04","upland",608591.6,3659587,NA,6.6375,11.825,0,5.09582364019054
